dossier_id,nom,prenom,sexe,date_naissance,lieu_naissance,numero_cnib,numero_telephone,date_entretien
BRK-2026-000001,Zongo,Ibrahim,M,1993-07-14,Bobo-Dioulasso,B81133778,+226 70 46 61 96,2026-09-05
BRK-2026-000002,Ouattara,Nafissatou,F,1987-08-06,Boromo,B97119869,+226 77 33 19 59,2026-09-05
BRK-2026-000003,Sana,Ibrahim,M,1967-03-30,Ouagadougou,B90085177,+226 74 76 33 74,2026-07-10
BRK-2026-000004,Compaoré,Amadou,M,2001-03-16,Koudougou,B87346014,+226 77 29 37 26,2026-08-04
BRK-2026-000005,Ouédraogo,Mariam,F,1983-08-13,Gourcy,B39607234,+226 70 92 51 85,2026-08-01
BRK-2026-000006,Yaméogo,Seydou,M,1968-01-23,Fada N'Gourma,B95264816,+226 78 60 45 64,2026-07-21
BRK-2026-000007,Bationo,Djénéba,F,1973-04-16,Gaoua,B16273902,+226 71 12 73 21,2026-07-31
BRK-2026-000008,Yaméogo,Kadiatou,F,1993-03-08,Koudougou,B73115998,+226 74 19 36 90,2026-08-21
BRK-2026-000009,Yaméogo,Ibrahim,M,1987-04-11,Manga,B40065295,+226 75 46 50 14,2026-07-27
BRK-2026-000010,Sawadogo,Zenabou,F,1995-07-18,Dédougou,B73100792,+226 74 81 56 74,2026-08-20
BRK-2026-000011,Zongo,Mariam,F,2005-10-27,Dédougou,B88833450,+226 77 42 24 80,2026-07-29
BRK-2026-000012,Kagambega,Korotimi,F,1980-02-29,Dédougou,B55692195,+226 75 58 86 16,2026-08-22
BRK-2026-000013,Bationo,Kadiatou,F,1988-09-27,Diébougou,B84285354,+226 76 56 54 23,2026-08-11
BRK-2026-000014,Ouattara,Zenabou,F,2002-11-20,Banfora,B88758999,+226 77 18 40 78,2026-08-03
BRK-2026-000015,Sana,Rasmané,M,1984-03-22,Gourcy,B48689897,+226 75 95 64 92,2026-08-10
BRK-2026-000016,Ouattara,Rihanata,F,1986-12-20,Dori,B85543513,+226 75 90 13 61,2026-07-14
BRK-2026-000017,Sana,Bintou,F,1988-05-24,Réo,B59547689,+226 75 21 91 48,2026-09-02
BRK-2026-000018,Sawadogo,Salimata,F,1984-08-01,Dori,B46364991,+226 74 21 36 44,2026-07-21
BRK-2026-000019,Kafando,Adama,M,1991-11-06,Pouytenga,B83727378,+226 75 30 98 37,2026-08-03
BRK-2026-000020,Kagambega,Salimata,F,1997-04-02,Fada N'Gourma,B47958442,+226 78 50 28 10,2026-07-11
BRK-2026-000021,Congo,Yacouba,M,1983-12-15,Tenkodogo,B97724417,+226 71 93 34 36,2026-08-10
BRK-2026-000022,Compaoré,Zenabou,F,1989-09-03,Kaya,B77728552,+226 78 51 11 95,2026-07-18
BRK-2026-000023,Nikiema,Drissa,M,1995-02-05,Koudougou,B38696331,+226 77 60 82 49,2026-08-02
BRK-2026-000024,Zoungrana,Yacouba,M,1993-05-26,Bobo-Dioulasso,B67105935,+226 78 33 95 56,2026-08-12
BRK-2026-000025,Sawadogo,Aïcha,F,1982-04-29,Koudougou,B26369821,+226 75 54 68 35,2026-07-30
BRK-2026-000026,Congo,Rihanata,F,1985-11-02,Pouytenga,B72517043,+226 78 88 14 48,2026-08-11
BRK-2026-000027,Zongo,Aminata,F,1992-09-03,Kaya,B40193144,+226 72 24 45 79,2026-07-27
BRK-2026-000028,Nikiema,Karim,M,1978-06-27,Nouna,B73006997,+226 72 90 39 89,2026-08-12
BRK-2026-000029,Kaboré,Nafissatou,F,1989-06-21,Dédougou,B99433253,+226 75 16 83 47,2026-07-12
BRK-2026-000030,Kafando,Salimata,F,1979-11-18,Yako,B43332651,+226 78 29 39 53,2026-07-28
BRK-2026-000031,Nikiema,Drissa,M,1994-04-12,Réo,B70385135,+226 75 41 15 84,2026-09-04
BRK-2026-000032,Yaméogo,Paul,M,2004-01-24,Fada N'Gourma,B40652992,+226 70 35 24 75,2026-08-31
BRK-2026-000033,Dabiré,Issouf,M,1988-10-03,Dédougou,B88043894,+226 76 93 34 34,2026-08-18
BRK-2026-000034,Zoungrana,Issouf,M,1980-11-29,Ouahigouya,B88292761,+226 76 62 39 84,2026-07-26
BRK-2026-000035,Bamogo,Kadiatou,F,1993-12-11,Réo,B49761359,+226 76 95 20 79,2026-08-02
BRK-2026-000036,Sawadogo,Fatimata,F,1977-07-30,Ziniaré,B34257194,+226 75 17 50 90,2026-08-09
BRK-2026-000037,Somé,Salimata,F,1981-03-09,Banfora,B41167721,+226 78 43 53 70,2026-07-30
BRK-2026-000038,Ouattara,Aïcha,F,1990-07-08,Diébougou,B65695740,+226 72 12 25 13,2026-08-06
BRK-2026-000039,Ouattara,Korotimi,F,1991-11-25,Ouagadougou,B14755213,+226 74 56 88 45,2026-08-28
BRK-2026-000040,Kaboré,Rasmata,F,1996-08-13,Yako,B71451618,+226 74 22 45 20,2026-08-20
BRK-2026-000041,Yaméogo,Boukary,M,1993-07-22,Ziniaré,B56960513,+226 72 43 70 52,2026-08-08
BRK-2026-000042,Zongo,Rasmata,F,1992-10-26,Gourcy,B73527989,+226 77 54 48 73,2026-07-25
BRK-2026-000043,Sawadogo,Aminata,F,1978-02-04,Bobo-Dioulasso,B86156125,+226 70 92 92 36,2026-08-24
BRK-2026-000044,Sawadogo,Ousmane,M,1981-04-04,Diébougou,B15201672,+226 75 11 95 98,2026-09-04
BRK-2026-000045,Zoungrana,Assita,F,1996-05-16,Banfora,B38922588,+226 70 94 75 67,2026-08-29
